iteration,problem instance,problem seed,algorithm seed,starting fitness,ensemble number,fitness,number of runs,heuristics
11,5,1011,1011,0.05208615136876116,0,0.045728161616163,7,"[211, 82, 302, 152, 235]"
12,5,1012,1012,0.046473535353537376,0,0.032056817256817194,18,"[211, 82, 302, 152, 235]"
13,5,1013,1013,0.04516088888889047,0,0.03740746147607532,10,"[211, 82, 302, 152, 235]"
14,5,1014,1014,0.0464279595959608,0,0.030412535612535208,26,"[211, 82, 302, 152, 235]"
15,5,1015,1015,0.05219855072463908,0,0.0228975490196085,43,"[211, 82, 302, 152, 235]"
16,5,1016,1016,0.04660315151515326,0,0.031521530321529934,25,"[211, 82, 302, 152, 235]"
17,5,1017,1017,0.046672323232325064,0,0.03779902676399183,10,"[211, 82, 302, 152, 235]"
18,5,1018,1018,0.04667943434343591,0,0.025004084967320983,29,"[211, 82, 302, 152, 235]"
19,5,1019,1019,0.05262238325281943,0,0.05124589371980803,3,"[211, 82, 302, 152, 235]"
20,5,1020,1020,0.04646610101010329,0,0.023740032679738232,28,"[211, 82, 302, 152, 235]"
21,5,1021,1021,0.045647030303031966,0,0.02498415032679735,26,"[211, 82, 302, 152, 235]"
22,5,1022,1022,0.04445785858585949,0,0.02996776556776448,17,"[211, 82, 302, 152, 235]"
23,5,1023,1023,0.045560727272728085,0,0.03776755879967564,9,"[211, 82, 302, 152, 235]"
